Age,Education_num,marital_status,Occupation,Relationship,Sex,capital_gain,capital_loss,hours_per_week,is_US,Workclass_ Local-gov,Workclass_ Never-worked,Workclass_ Private,Workclass_ Self-emp-inc,Workclass_ Self-emp-not-inc,Workclass_ State-gov,Workclass_ Without-pay,Race_ Asian-Pac-Islander,Race_ Black,Race_ Other,Race_ White
49,10,2,4065,0,1,0,0,50,1,False,False,False,True,False,False,False,False,False,False,True
25,10,0,5979,3,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
19,10,0,5979,3,1,0,0,32,1,False,False,True,False,False,False,False,False,False,False,True
31,13,1,3650,3,0,0,0,40,1,False,False,True,False,False,False,False,False,True,False,False
29,13,2,3650,0,1,0,0,70,1,False,False,False,False,True,False,False,False,False,False,True
23,10,0,2000,1,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
79,10,2,5979,2,1,0,0,20,1,False,False,True,False,False,False,False,False,False,False,True
27,9,0,3291,3,1,0,0,40,0,False,False,True,False,False,False,False,False,False,False,True
40,12,2,3768,0,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
67,6,2,5979,0,1,0,0,2,1,False,False,True,False,False,False,False,False,False,False,True
18,7,0,3291,3,0,0,0,22,1,False,False,True,False,False,False,False,False,False,False,True
31,4,2,992,0,1,0,0,40,1,True,False,False,False,False,False,False,False,False,False,True
18,9,0,3650,1,1,0,0,30,1,False,False,True,False,False,False,False,False,False,False,True
52,13,2,3291,0,1,0,0,40,0,False,False,True,False,False,False,False,False,False,False,True
46,9,2,3291,5,0,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
59,9,2,3650,0,1,0,0,48,1,False,False,True,False,False,False,False,False,False,False,True
44,9,1,4094,1,0,14344,0,40,1,False,False,True,False,False,False,False,False,False,False,True
53,9,1,3650,3,0,0,0,35,1,False,False,True,False,False,False,False,False,False,False,True
49,9,2,649,0,1,0,0,40,1,True,False,False,False,False,False,False,False,False,False,True
33,14,2,5979,0,1,0,0,50,1,False,False,True,False,False,False,False,False,False,False,True
30,5,0,3650,1,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
43,16,0,5979,1,0,0,0,50,1,False,False,False,False,False,False,False,False,False,False,True
57,11,2,5979,0,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
37,10,1,4094,4,0,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
28,10,1,2000,4,0,0,0,25,1,False,False,True,False,False,False,False,False,True,False,False
30,9,2,3650,5,0,0,1573,35,1,False,False,True,False,False,False,False,True,False,False,False
34,13,2,649,0,1,0,0,40,1,True,False,False,False,False,False,False,False,False,False,True
29,10,0,1369,1,1,0,0,50,1,True,False,False,False,False,False,False,False,False,False,True
48,16,2,5979,0,1,0,1902,60,1,False,False,False,False,True,False,False,False,False,False,True
37,10,2,3650,0,1,0,0,48,1,False,False,True,False,False,False,False,False,False,False,True
48,12,1,4065,4,0,0,0,40,0,False,False,True,False,False,False,False,False,False,False,True
32,9,0,3291,3,1,0,0,40,1,False,False,False,False,False,False,False,False,True,False,False
76,14,2,4065,0,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
44,13,2,4065,0,1,15024,0,60,1,False,False,True,False,False,False,False,False,False,False,True
47,14,0,5979,1,0,0,0,50,1,False,False,False,False,True,False,False,False,False,False,True
20,10,0,927,3,0,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
29,9,0,4094,1,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
32,9,2,4094,0,1,7688,0,40,1,False,False,False,True,False,False,False,False,False,False,True
17,6,0,5979,3,0,34095,0,32,1,False,False,True,False,False,False,False,False,False,False,True
30,7,0,1369,3,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
31,9,0,3768,1,0,0,0,40,1,True,False,False,False,False,False,False,False,False,False,True
42,9,2,1369,0,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
24,13,0,3650,2,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
38,15,2,5979,0,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
56,9,2,3291,0,1,0,1887,50,0,False,False,False,False,True,False,False,False,False,False,True
28,10,2,3650,5,0,4064,0,25,1,False,False,True,False,False,False,False,False,False,False,True
36,9,0,2000,3,0,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
53,5,2,1369,0,1,0,0,50,1,False,False,True,False,False,False,False,False,False,False,True
56,10,2,3650,0,1,0,0,50,1,False,False,False,True,False,False,False,False,False,False,True
49,11,2,4094,0,1,0,0,40,1,True,False,False,False,False,False,False,False,True,False,False
55,10,2,3650,0,1,0,0,56,1,False,False,True,False,False,False,False,False,False,False,True
22,9,0,4094,1,1,0,0,41,1,False,False,True,False,False,False,False,False,False,False,True
21,10,0,3291,3,0,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
40,13,2,4065,0,1,0,0,60,1,False,False,True,False,False,False,False,False,False,False,True
30,13,0,4065,3,1,0,0,40,0,False,False,True,False,False,False,False,False,True,False,False
29,13,2,5979,0,1,0,0,50,1,False,False,False,False,False,True,False,False,False,False,True
19,10,0,3291,3,1,0,0,35,1,False,False,True,False,False,False,False,False,True,False,False
47,13,2,4065,5,0,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
20,10,0,3768,3,0,0,1719,28,1,False,False,True,False,False,False,False,False,False,False,True
31,12,2,3768,0,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
35,9,2,5979,0,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
39,10,1,4094,1,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
28,12,0,3650,1,0,0,0,60,1,False,False,True,False,False,False,False,False,False,False,True
24,9,0,3291,1,0,0,1762,40,1,False,False,True,False,False,False,False,False,False,False,True
38,9,2,4094,0,1,4386,0,35,1,False,False,False,False,True,False,False,False,False,False,True
37,13,2,3650,0,1,0,0,50,1,False,False,True,False,False,False,False,False,False,False,True
46,12,1,927,1,0,0,0,36,1,False,False,True,False,False,False,False,False,True,False,False
38,14,2,5979,0,1,0,0,40,0,False,False,False,False,False,False,False,False,False,False,True
43,9,2,4094,0,1,0,0,60,1,False,False,False,False,True,False,False,False,False,False,True
27,11,2,3768,5,0,0,0,35,1,False,False,True,False,False,False,False,False,False,False,True
20,10,0,3650,3,1,0,0,20,1,False,False,True,False,False,False,False,False,False,False,True
49,10,2,4094,0,1,0,0,40,1,False,False,True,False,False,False,False,True,False,False,False
61,9,2,4094,0,1,0,0,40,1,False,False,False,True,False,False,False,False,False,False,True
27,10,0,3650,3,0,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
19,10,0,3291,3,1,0,0,30,0,False,False,True,False,False,False,False,False,False,False,True
45,11,0,5979,1,0,0,1564,40,1,False,False,True,False,False,False,False,False,False,False,True
70,10,0,927,2,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
31,9,0,1597,4,0,0,0,30,1,False,False,True,False,False,False,False,False,True,False,False
22,10,2,3291,0,1,0,0,24,1,False,False,True,False,False,False,False,False,False,False,True
36,9,1,3291,4,0,0,0,24,1,False,False,True,False,False,False,False,False,False,False,True
64,7,2,4094,0,1,0,2179,40,1,False,False,True,False,False,False,False,False,False,False,True
43,10,1,5979,1,0,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
47,10,1,3768,4,0,0,0,38,0,True,False,False,False,False,False,False,False,False,False,True
34,9,0,3768,1,0,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
33,13,0,4065,2,0,0,0,40,0,False,False,True,False,False,False,False,True,False,False,False
21,9,0,4094,3,1,0,0,35,1,False,False,True,False,False,False,False,False,False,False,True
52,9,1,5979,1,1,0,0,45,1,False,False,True,False,False,False,False,False,False,False,True
48,9,2,4094,0,1,0,0,46,1,False,False,True,False,False,False,False,False,False,False,True
23,13,0,1369,1,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
71,10,1,3650,4,1,0,1816,2,1,False,False,False,False,True,False,False,False,True,False,False
29,9,1,4094,1,1,0,0,60,1,False,False,True,False,False,False,False,False,False,False,True
42,13,1,3291,2,1,0,0,50,1,False,False,True,False,False,False,False,False,True,False,False
68,2,1,5979,1,0,0,0,20,1,False,False,True,False,False,False,False,False,False,False,True
25,9,0,3291,4,0,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
44,14,1,4065,4,0,0,0,40,1,False,False,False,True,False,False,False,True,False,False,False
28,9,0,4065,1,0,0,0,40,0,False,False,True,False,False,False,False,True,False,False,False
45,14,2,3650,0,1,0,0,40,1,False,False,False,False,True,False,False,False,False,False,True
36,10,1,3291,4,0,0,0,40,0,False,False,True,False,False,False,False,False,False,False,True
39,12,0,4065,1,1,0,0,42,1,False,False,False,False,False,False,False,False,False,False,True
46,14,1,649,4,1,0,0,40,1,False,False,False,False,False,True,False,False,False,False,True
18,7,0,1369,3,1,0,0,16,1,False,False,True,False,False,False,False,False,False,False,True
66,11,1,5979,1,0,0,0,20,1,True,False,False,False,False,False,False,False,False,False,True
27,9,0,3291,1,1,0,1980,40,1,False,False,True,False,False,False,False,False,False,False,True
28,9,2,649,0,1,0,0,40,1,False,False,False,False,False,True,False,False,False,False,True
51,10,2,3650,0,1,0,1977,40,1,False,False,True,False,False,False,False,False,False,False,True
27,13,0,4094,1,1,0,0,50,1,False,False,True,False,False,False,False,False,False,False,True
28,13,2,5979,0,1,0,0,40,1,False,False,False,False,False,True,False,False,False,False,True
27,9,2,3650,4,0,0,0,25,1,False,False,True,False,False,False,False,False,False,False,True
21,9,0,4094,3,1,0,0,40,1,False,False,True,False,False,False,False,False,True,False,False
34,9,0,1369,1,1,0,0,40,1,False,False,True,False,False,False,False,False,True,False,False
18,9,0,3291,3,1,0,0,12,1,False,False,True,False,False,False,False,False,False,False,True
33,13,2,5979,0,1,0,0,65,1,False,False,True,False,False,False,False,False,False,False,True
44,10,2,4065,0,1,0,0,38,1,True,False,False,False,False,False,False,False,True,False,False
43,10,1,3768,1,0,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
30,10,0,4094,1,1,0,0,45,1,False,False,True,False,False,False,False,False,True,False,False
40,4,2,2000,0,1,0,0,40,0,False,False,True,False,False,False,False,False,False,False,True
37,10,2,3768,0,1,0,0,42,1,False,False,False,False,False,False,False,False,False,False,True
34,9,2,3768,0,1,0,0,40,1,False,False,True,False,False,False,False,False,True,False,False
41,13,1,4065,1,0,0,0,40,1,False,False,False,False,True,False,False,False,False,False,True
53,13,1,5979,1,0,0,0,50,1,False,False,True,False,False,False,False,False,False,False,True
31,14,2,5979,5,0,0,0,50,1,False,False,True,False,False,False,False,False,False,False,True
58,16,2,5979,0,1,0,0,1,1,False,False,False,False,False,True,False,False,False,False,True
38,10,1,2000,1,0,0,0,28,1,False,False,True,False,False,False,False,False,True,False,False
24,10,2,2000,0,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
41,13,2,4094,0,1,0,0,40,1,True,False,False,False,False,False,False,False,True,False,False
47,10,2,927,0,1,0,0,45,1,False,False,True,False,False,False,False,False,False,False,True
41,13,2,927,0,1,0,0,24,1,False,False,False,False,False,False,False,False,False,False,True
23,3,2,1597,2,1,0,0,40,0,False,False,True,False,False,False,False,False,False,False,True
36,10,1,4094,1,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
40,14,0,4065,1,0,14084,0,55,1,False,False,False,False,False,False,False,False,False,False,True
35,14,2,5979,2,1,7298,0,40,1,False,False,True,False,False,False,False,False,False,False,True
24,9,0,3650,1,1,0,0,40,1,False,False,False,False,True,False,False,False,False,False,True
26,14,0,5979,1,0,0,1876,40,1,False,False,True,False,False,False,False,False,False,False,True
19,9,0,5979,3,1,0,0,40,0,False,False,True,False,False,False,False,False,False,False,True
51,13,2,4065,0,1,0,0,50,1,False,False,True,False,False,False,False,False,False,False,True
42,10,0,5979,1,0,0,1340,40,1,True,False,False,False,False,False,False,False,False,False,True
37,9,1,3768,4,0,0,0,35,1,False,False,False,False,False,True,False,False,False,False,True
18,7,0,3650,3,0,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
36,13,2,3291,0,1,7298,0,36,1,False,False,True,False,False,False,False,False,True,False,False
35,9,1,4094,1,1,0,0,60,1,False,False,True,False,False,False,False,False,False,False,True
58,9,2,3650,5,0,15024,0,35,1,False,False,False,True,False,False,False,False,False,False,True
17,7,0,3650,3,0,0,0,12,1,False,False,True,False,False,False,False,False,False,False,True
44,9,2,1597,0,1,0,0,40,1,True,False,False,False,False,False,False,False,True,False,False
37,9,2,4094,0,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
35,10,0,3650,1,0,0,0,40,1,False,False,True,False,False,False,False,False,False,False,False
60,9,2,4094,0,1,0,0,40,1,False,False,True,False,False,False,False,True,False,False,False
54,4,2,2000,0,1,0,0,40,1,False,False,False,True,False,False,False,False,False,False,True
37,13,0,4065,1,1,0,0,60,1,False,False,True,False,False,False,False,False,True,False,False
50,12,1,3650,1,0,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
38,13,2,3650,0,1,0,0,50,0,False,False,True,False,False,False,False,False,False,False,True
45,13,2,5979,0,1,0,0,55,1,False,False,True,False,False,False,False,False,False,False,True
25,6,0,4094,1,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
31,10,2,1369,0,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
64,2,1,5979,1,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
90,9,0,3291,1,1,0,2206,40,1,False,False,True,False,False,False,False,False,True,False,False
54,9,2,3768,0,1,0,0,20,1,False,False,True,False,False,False,False,False,True,False,False
53,1,0,2000,1,0,0,0,35,1,True,False,False,False,False,False,False,False,False,False,True
18,9,0,3650,3,0,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
60,6,1,5979,1,0,0,0,10,1,False,False,True,False,False,False,False,False,False,False,False
66,9,2,992,0,1,1409,0,50,1,False,False,False,False,True,False,False,False,False,False,True
75,11,1,3768,1,0,0,0,20,0,False,False,True,False,False,False,False,False,False,False,True
65,9,1,3768,1,0,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
35,7,1,1597,1,1,3674,0,40,1,False,False,True,False,False,False,False,False,True,False,False
41,9,1,3650,4,0,0,0,38,1,False,False,True,False,False,False,False,False,True,False,False
25,10,0,3768,1,1,0,0,42,1,False,False,True,False,False,False,False,False,False,False,True
33,10,1,4094,2,0,0,0,40,1,False,False,True,False,False,False,False,False,False,True,False
28,15,0,5979,1,1,0,0,55,1,False,False,True,False,False,False,False,False,False,False,True
59,9,2,3291,0,1,0,0,40,1,False,False,False,False,False,True,False,False,False,False,True
40,10,0,3768,1,0,0,0,38,1,False,False,False,False,False,True,False,False,False,False,True
41,13,2,4065,0,1,0,0,50,0,False,False,True,False,False,False,False,False,False,False,True
38,14,2,4065,0,1,0,0,70,1,True,False,False,False,False,False,False,False,False,False,True
23,9,0,1597,3,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
40,13,2,5979,0,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
41,9,2,3291,5,0,0,0,20,1,False,False,False,False,True,False,False,False,False,False,True
24,12,2,649,0,1,0,0,50,1,False,False,False,False,False,True,False,False,False,False,True
20,10,0,5979,3,1,0,0,20,1,False,False,True,False,False,False,False,False,False,False,True
38,10,1,4094,1,1,0,1741,40,1,False,False,True,False,False,False,False,False,False,False,True
56,9,2,3768,0,1,0,0,35,1,False,False,True,False,False,False,False,False,False,False,True
58,9,2,3768,0,1,0,0,45,1,False,False,True,False,False,False,False,False,False,False,True
32,9,0,3291,1,0,0,0,34,1,False,False,True,False,False,False,False,False,False,False,True
40,12,2,927,0,1,0,1977,60,1,False,False,True,False,False,False,False,False,False,False,True
45,9,2,3768,0,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
41,15,2,5979,5,0,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
42,13,2,3768,5,0,0,0,40,1,False,False,True,False,False,False,False,False,True,False,False
59,6,1,3291,4,0,0,0,30,1,True,False,False,False,False,False,False,False,True,False,False
19,10,0,3768,3,1,0,0,40,1,True,False,False,False,False,False,False,False,False,False,True
58,10,0,1597,1,1,0,0,20,1,False,False,True,False,False,False,False,False,False,False,True
42,9,2,992,0,1,0,0,40,0,False,False,False,False,True,False,False,True,False,False,False
20,9,0,3291,3,0,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
32,9,1,3291,1,0,0,0,30,1,False,False,True,False,False,False,False,False,False,False,True
45,11,1,4065,1,0,0,0,45,1,False,False,True,False,False,False,False,False,False,False,True
50,4,1,4094,1,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
36,13,1,5979,3,0,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
45,9,2,3650,0,1,0,0,60,1,False,False,True,False,False,False,False,False,False,False,True
17,7,0,3291,3,1,0,0,12,1,False,False,True,False,False,False,False,False,False,False,True
59,10,2,3650,0,1,4064,0,40,1,False,False,True,False,False,False,False,False,False,False,True
26,7,2,4094,0,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
37,10,2,4065,0,1,0,0,75,0,False,False,False,True,False,False,False,True,False,False,False
19,10,0,5979,3,1,0,0,24,0,False,False,True,False,False,False,False,False,False,False,True
64,9,2,4065,0,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
33,13,0,5979,1,0,0,0,45,1,False,False,True,False,False,False,False,False,False,False,True
33,9,2,4094,5,0,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
61,9,2,4065,0,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
17,5,0,3291,3,1,1055,0,24,1,False,False,True,False,False,False,False,False,False,False,True
50,14,2,992,0,1,2407,0,98,1,False,False,False,False,True,False,False,False,False,False,True
27,14,0,5979,3,1,0,0,35,1,True,False,False,False,False,False,False,False,False,False,True
30,9,1,5979,3,0,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
43,9,2,1369,0,1,0,0,40,1,False,False,True,False,False,False,False,False,True,False,False
44,10,2,4094,0,1,7298,0,40,1,False,False,True,False,False,False,False,False,False,False,True
35,10,0,4065,1,0,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
25,10,0,927,3,0,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
24,10,2,2000,5,0,7298,0,48,1,False,False,True,False,False,False,False,False,False,False,True
22,13,0,5979,1,0,0,0,15,0,False,False,True,False,False,False,False,False,False,False,True
42,10,2,4094,0,1,5178,0,40,1,True,False,False,False,False,False,False,False,False,False,True
34,12,1,3650,4,0,0,0,45,1,False,False,True,False,False,False,False,False,True,False,False
60,13,1,5979,1,0,0,0,42,1,False,False,True,False,False,False,False,False,False,False,True
21,9,0,1369,3,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
57,14,2,3650,0,1,15024,0,40,1,False,False,False,False,False,False,False,False,False,False,True
41,15,2,5979,0,1,0,0,60,1,False,False,True,False,False,False,False,False,False,False,True
50,10,1,3291,1,1,0,0,45,1,False,False,True,False,False,False,False,False,False,False,True
25,13,0,4065,1,0,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
50,4,2,4094,0,1,0,0,40,0,False,False,True,False,False,False,False,False,False,False,True
36,13,2,5979,0,1,0,0,45,1,False,False,True,False,False,False,False,False,False,False,True
31,9,1,5979,1,0,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
29,13,0,649,1,1,0,0,56,1,True,False,False,False,False,False,False,False,False,False,True
21,10,0,3650,3,1,0,0,45,1,False,False,True,False,False,False,False,False,False,False,True
27,13,0,927,4,0,0,0,40,1,False,False,True,False,False,False,False,False,True,False,False
65,9,2,1597,0,1,0,0,16,1,False,False,True,False,False,False,False,False,False,False,True
37,13,1,3650,1,0,0,0,60,1,False,False,False,True,False,False,False,False,False,False,True
39,14,2,5979,5,0,3464,0,40,1,False,False,True,False,False,False,False,True,False,False,False
24,9,0,4094,3,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
38,9,1,3650,1,1,0,0,80,1,False,False,True,False,False,False,False,False,False,False,True
48,13,2,3768,0,1,7688,0,40,1,False,False,True,False,False,False,False,False,False,False,True
21,10,0,3291,1,0,0,0,25,1,False,False,True,False,False,False,False,True,False,False,False
31,9,2,1597,0,1,0,0,45,1,False,False,True,False,False,False,False,False,False,False,True
55,9,2,3650,0,1,4386,0,40,1,False,False,True,False,False,False,False,False,False,False,True
24,10,2,3768,5,0,0,0,40,0,False,False,True,False,False,False,False,True,False,False,False
43,9,1,3768,1,0,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
26,12,0,927,1,1,0,0,45,1,False,False,True,False,False,False,False,False,False,False,True
46,12,0,5979,1,0,0,0,33,1,False,False,True,False,False,False,False,False,False,False,True
35,12,2,3768,0,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
41,10,2,992,0,1,0,0,54,1,False,False,False,True,False,False,False,False,False,False,True
26,13,0,3650,1,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
34,14,2,4065,0,1,7298,0,35,0,False,False,True,False,False,False,False,True,False,False,False
19,10,0,5979,3,0,0,0,25,1,False,False,True,False,False,False,False,False,True,False,False
36,13,1,5979,1,0,0,0,40,1,False,False,False,False,True,False,False,False,True,False,False
22,10,0,3650,3,1,0,0,15,1,False,False,True,False,False,False,False,False,False,False,True
24,10,0,2000,1,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
77,10,2,3650,0,1,0,0,40,1,False,False,False,False,True,False,False,False,False,False,True
